crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm,District Name,salinity_alkalinity_percentage
Finger Millet,,,,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur,Shahjahanpur,791.269999,Shahjahanpur,11.61206617
Finger Millet,,,,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit,Pilibhit,991.670003,Pilibhit,2.866361171
Finger Millet,,,,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur,Rampur,857.379998,Rampur,10.53140097
Finger Millet,,,,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor,Bijnor,611.789981,Bijnor,3.088438948
Finger Millet,,,,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad,Farrukhabad,630.25,Farrukhabad,30.89250522
Finger Millet,,,,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah,Etawah,450.760001,Etawah,24.0614579
Finger Millet,,,,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur,Kanpur,804.090001,Kanpur,33.529169315
Finger Millet,,,,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur,Fatehpur,728.309991,Fatehpur,38.81640261
Finger Millet,,,,210,2017,12,Uttar Pradesh,108387,39828,13191,Prayagraj,Prayagraj,668.74999,Prayagraj,15.88414142
Finger Millet,,,,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi,Jhansi,450.439993,Jhansi,0.582606933
Finger Millet,,,,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun,Jalaun,415.319999,Jalaun,2.210888043
Finger Millet,,,,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur,Hamirpur,1487.169973,Hamirpur,1.945764281
Finger Millet,,,,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda,Banda,725.660014,Banda,31.38010403
Finger Millet,,,,216,2017,12,Uttar Pradesh,87883,26904,4706,Varanasi,Varanasi,722.7200029999999,Varanasi,66.12474406
Finger Millet,,,,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur,Jaunpur,781.48,Jaunpur,74.5943704
Finger Millet,,,,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur,Ghazipur,694.669997,Ghazipur,35.3579145
Finger Millet,,,,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia,Ballia,722.700012,Ballia,8.71385202
Finger Millet,,,,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur,Gorakhpur,967.42,Gorakhpur,46.83190458
Finger Millet,,,,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria,Deoria,842.89001,Deoria,8.073508156
Finger Millet,,,,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti,Basti,886.90999,Basti,8.208008697
