,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
3953,Barley,0.050000001,0.13,0.146,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3956,Wheat,195.12,716.28003,205.86301,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3958,Sorghum (Kharif),0.090000004,0.090000004,0.26800001,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3963,Chickpea,0.029999999,0.039999999,0.38999999,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3966,Wheat,276.29001,1013.67,300.80301,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3973,Rice,88.349998,188.48,100.686,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3980,Maize,10.44,23.450001,12.648,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3982,Wheat,300.44,1101.13,302.582,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
3990,Maize,5.6399999,12.08,10.168,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
3991,Rice,140.63,327.23999,142.735,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
3992,Sugarcane,142.64,1171.08,148.338,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
4002,Barley,0.38,1.08,0.93300003,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
4014,Pigeonpea,0.31,0.28,0.56900001,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
4016,Wheat,247.7,989.81,265.815,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
4018,Sugarcane,45.740002,371.07999,55.909,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
4027,Wheat,131.99001,559.22998,156.08501,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
4035,Barley,0.0,0.0099999998,0.0070000002,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
4042,Rice,140.74001,461.07999,152.437,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
